,,,,,,,,,,,
12/26/2015,4:27,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,12.96, , ,
12/26/2015,4:27,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-242.96,-1,76870.07,
12/26/2015,4:55,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,168.22,2,-336.27,-1, ,
12/26/2015,4:55,FP RFR ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,23.67,1.84,-43.54, , ,
12/26/2015,4:55,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,63.96, , ,
12/26/2015,4:55,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-315.85,-1,76553.22,
12/26/2015,7:55,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,75.05,1.98,-148.52,-1, ,
12/26/2015,7:55,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,9.16, , ,
12/26/2015,7:55,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-139.36,-1,76412.86,
12/26/2015,10:40,FP #2S ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,104.57,2,-209.03,-1, ,
12/26/2015,10:40,FP OTH ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,4.39,2.85,-12.51, , ,
12/26/2015,10:40,FP Discount ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,29.07, , ,
12/26/2015,10:40,FP TOTAL ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,-192.47,-1,76219.39,
12/26/2015,11:43,FP #2S ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,53.42,2.24,-119.62,-1, ,
12/26/2015,11:43,FP RFR ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,14.12,2.24,-31.62, , ,
12/26/2015,11:43,FP Discount ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,37.69, , ,
12/26/2015,11:43,FP TOTAL ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,-113.55,-1,76104.84,
12/26/2015,12:47,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,161.66,2.36,-381.36,-1, ,
12/26/2015,12:47,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,107.34, , ,
12/26/2015,12:47,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-274.02,-1,75829.82,
12/26/2015,15:17,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,66.21,1.92,-127.05,-1, ,
12/26/2015,15:17,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,2.47,2.86,-7.07, , ,
12/26/2015,15:17,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,34.29,1.92,-65.81, , ,
12/26/2015,15:17,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,10.15, , ,
12/26/2015,15:17,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-189.78,-1,75639.04,
12/26/2015,16:02,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,94.55,2.09,-197.51,-1, ,
12/26/2015,16:02,FP OTH ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,4.79,2.8,-13.41, , ,
12/26/2015,16:02,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,29.59, , ,
12/26/2015,16:02,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-181.33,-1,75456.71,
12/26/2015,17:05,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,125.74,2.36,-296.62,-1, ,
12/26/2015,17:05,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,6.62,2.86,-18.91, , ,
12/26/2015,17:05,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,83.49, , ,
12/26/2015,17:05,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-232.04,-1,75223.67,
12/26/2015,17:39,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,39.18,2.03,-79.5,-1, ,
12/26/2015,17:39,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,14.42, , ,
12/26/2015,17:39,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-65.08,-1,75157.59,
12/26/2015,19:50,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,61.43,2,-122.79,-1, ,
12/26/2015,19:50,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,20.27, , ,
12/26/2015,19:50,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-102.52,-1,75054.07,
DISPUTE,12/26/2015,20:27,Debit Decline ,WAL-MART #5234  ,CLINTON ,UT , , ,0,-1.5,75052.57
12/26/2015,22:07,FP #2S ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,181.89,2.03,-369.05,-1, ,
12/26/2015,22:07,FP OTH ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,6.77,2.85,-19.29, , ,
12/26/2015,22:07,FP Discount ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,49.11, , ,
12/26/2015,22:07,FP TOTAL ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,-339.23,-1,74712.34,
12/26/2015,23:11,FP #2S ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,146.51,2.36,-345.63,-1, ,
12/26/2015,23:11,FP OTH ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,15.02,3,-45.05, , ,
12/26/2015,23:11,FP TOTAL ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  , , ,-390.68,-1,74320.66,
